id,name,parentId,parentName,fullCompanyName,logoUrl,website,merchantCategoryCode,merchantCategoryDescription,registeredLocation,categoryId,analyticalCategory,transactionCategoryId,transactionCategory
e02b9041-d9a8-5a31-a99e-8affbfeef5d3,BPO Collections Ltd,,,,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/44a3d1435b3b3e0e3a2d8687.svg,https://www.bpocollections.co.uk/,null,,"MARINA QUAY, DOCK ROAD, ARDROSSAN, AYRSHIRE KA22 8DA",loans,loans,std:7ad9f997-6f45-45ac-9832-1177de1d4c94,loans
3b92d690-fc28-5153-bf41-6d6553474b91,Brewers Fayre,,,Whitbread Group plc,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/e91b4f458b0d08315104bbbd.svg,https://www.brewersfayre.co.uk/en-gb,null,,"Whitbread Group PLC. Whitbread Court, Houghton Hall Business Park, Porz Avenue, Dunstable LU5 5XE",restaurants,restaurants,std:8fc131b4-225b-42f8-a589-faf0ad179d5c,restaurants
b7a971f8-f24b-5719-b5a7-c658af9a1d96,British Heart Foundation,,,British Heart Foundation,,https://www.bhf.org.uk/,null,,"British Heart Foundation, 180 Great Hampstead Road, London",charity,charity,std:7daf3d79-98dd-4c85-b3cc-6d7ffd83fce9,charitable
8dc4a62b-d222-5070-85d9-546ce3ca2182,Budget Insurance Services,,,BISL Limited,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/13e428438ba3f273a8e64271.svg,https://www.budgetinsurance.com/,null,,"Pegasus House, Bakewell Road, Orton Southgate, Peterborough, PE2 6YS",insurance,insurance,std:afa6c9ab-020e-48a9-9e22-e01cb9c0ad44,insurance
2e8873fc-2646-5767-9ce7-b4c6cd012400,Chester Zoo,,,The North of England Zoological Society,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/8644410d608fa42cfdc12bd0.svg,https://www.chesterzoo.org/,null,,"Cedar House, Caughall Road, Upton-by-Chester, Chester, CH2 1LH",days-out,days-out,std:379c7ed2-27f3-401f-b581-f6507934f0f0,entertainment
11367b59-b6a2-4e17-b12d-bebe80f6eff9,Hinckley & Bosworth Borough Council,,,Hinckley & Bosworth Borough Council,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/498bfb7f17920cd253643d7b.svg,hinckleyandbosworthcommunitylottery.co.uk,null,,,charity,charity,std:7daf3d79-98dd-4c85-b3cc-6d7ffd83fce9,charitable
3e0633bd-0ba4-44d8-a8f2-7af023e8c44f,Friends Of East Anglian Air Ambulance,,,East Anglian Air Ambulance (Trading) Limited,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/786ea78d2a4a3551e3df7d0d.svg,raffleentry.org.uk/eaaa,null,,,charity,charity,std:7daf3d79-98dd-4c85-b3cc-6d7ffd83fce9,charitable
d75bb246-6b2d-530a-8a5d-a2bbe85f700d,10bet,,,Ocean Star Limited,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/b9849bef99168202bfdb6e94.svg,https://www.10bet.com/sports/,null,,,gambling,gambling,std:379c7ed2-27f3-401f-b581-f6507934f0f0,entertainment
a8ec514b-66a8-5c4a-bb6f-62e99c3962e0,247 money,,,247 Money Group Limited,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/4c71b06022a3d54dc94438ca.svg,https://www.247money.com/,null,,"Universal Square, Devonshire Street North, Manchester, United Kingdom, M12 6JH",loans,loans,,
44c12c23-0b22-547f-ae3a-0f4b27311b07,Debenhams,,,,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/cdad87aa525d282a2810e6a7.svg,,null,,,clothing,clothing,std:65ebdcdb-c46b-478f-bbbc-feabeb0b4342,clothing
3b02f0ea-b476-502b-897a-1110c579da8b,Debenhams Insurance,44c12c23-0b22-547f-ae3a-0f4b27311b07,Debenhams,,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/af226d74f069f2bb833ad0b6.svg,,null,,,car,car,std:901b1139-cbdf-4b89-9210-3fd551e45485,automotive
a156a5f4-2e6d-5133-bf89-1b25c720b23f,Admiral Financial Services Limited,,,,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/0ca4b2279bfbf224e1d27f55.svg,https://www.admiral.com/loans,null,,"Ty Admiral, David Street, Cardiff, United Kingdom, CF10 2EH",loans,loans,,
b570ae07-d8e1-5007-8b4b-bf3b531f7d5d,Affinity Water,,,,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/7bf1600e3d262a304ac1f31e.svg,,null,,,utilities-water,utilities-water,std:0265af3e-189e-4407-a5fa-b1e6bf4328c2,utilities
a93a25ca-c266-5ce6-8d2b-4431c3d0d5b6,Amazon Prime,ba4d83ec-3240-5d6e-b258-11e1c913da62,Amazon,,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/2fa650cdcd1234d964675b03.svg,,null,,,streaming,streaming,std:f1acac40-302b-4787-929e-259ad230f505,dues
66f82eb7-5151-5adb-82bb-845e1111b077,RAC Insurance,54585abd-e57d-5608-8c17-ebc5087ebde3,RAC,RAC Financial Services Limited,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/6cd27589f8d55e72d516f9e3.svg,https://www.rac.co.uk/,null,,"RAC House, Brockhurst Crescent, Walsall WS5 4AW",travel,travel,std:afa6c9ab-020e-48a9-9e22-e01cb9c0ad44,insurance
8e97ef6a-c8ef-5f33-8abd-e9cfdfa2f24f,Depop,,,Depop Limited,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/ebdd4957c6fc2bb2aefb2d09.svg,https://www.depop.com/,null,,"9th Floor, 107 Cheapside, London, United Kingdom, EC2V 6DN",clothing,clothing,std:65ebdcdb-c46b-478f-bbbc-feabeb0b4342,clothing
e0724634-abc1-52d4-980e-e1e03a02ce9e,J3 Debt Solutions,,,J3 Debt Solutions Limited,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/3a5325af167741f51a8e5426.svg,,null,,,loans,loans,std:7ad9f997-6f45-45ac-9832-1177de1d4c94,loans
9ed7b076-f729-5fa5-91c0-38a600a302bc,Ardent Credit Services Limited,,,,,https://www.ardentcredit.co.uk/,null,,"1st Floor, Moorgate Point Moorgate Road, Knowsley Industrial Park Liverpool, L33 7XW",loans,loans,std:7ad9f997-6f45-45ac-9832-1177de1d4c94,loans
62e21d2b-d174-5493-be46-70eb6748ed17,Ascot,,,Ascot,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/688ff6a7b9f06bf34ff95810.svg,https://www.ascot.com/betting-at-ascot,null,,,gambling,gambling,std:379c7ed2-27f3-401f-b581-f6507934f0f0,entertainment
bd449d2e-7504-5f8f-9a3e-df20d450e956,Asset Collections & Investigations Ltd,,,ACI-UK LIMITED,https://s3.eu-west-1.amazonaws.com/mft-counterparty-logos-prod/6f0ea775e23c19f97db5f1b5.svg,https://www.aciuk.co.uk/,null,,"10 Whitehills Business Park, Whitehills Drive, Blackpool, Lancashire FY4 5LW",loans,loans,std:7ad9f997-6f45-45ac-9832-1177de1d4c94,loans
